Card,Set,Mana Cost,Card Type,Color,Rarity,imageUrl,lowScore,highScore,review,color,set,power,toughness,text
Lightning Strike,Ixalan,1R,Instant,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377539/large/144831_200w.jpg?1504650149,3.5,,"Lightning never strikes twice, especially now that this is uncommon. It's still just as good as every other time we've seen it, as 3 damage for 2 mana is not a deal I'll ever turn down.",red,xln,,,Lightning Strike deals 3 damage to target creature or player.
Lightning-Rig Crew,Ixalan,2R,Creature  - Goblin Pirate,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379117/large/145603_200w.jpg?1505405659,3,,"The Lobbers have upgraded their rig, and now have an extra point of toughness. I like the defensive body in control decks, and like the unblockable damage in aggro decks. All told, this is a card I'm happy to play everywhere, even if I don't have tons of Pirates. Also note that this can attack to trigger raid, if such a thing is needed.",red,xln,0,5,"{T}: Lightning-Rig Crew deals 1 damage to each opponent. Whenever you cast a Pirate spell, untap Lightning-Rig Crew."
Lookout's Dispersal,Ixalan,2U,Instant,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378909/large/Lookouts-Dispersal.png?1505253860,2.5,,"I will always be on the lookout for this in a dedicated Pirate deck (6+), and it's a fine playable even in decks with just a few Pirates. I've played Convolute before, and getting a counter for 2 mana can lead to some mana-efficient turns.",blue,xln,,,Lookout's Dispersal costs {1} less to cast if you control a Pirate. Counter target spell unless its controller pays {4}.
Looming Altisaur,Ixalan,3W,Creature  - Dinosaur,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379471/large/145669_200w.jpg?1505504714,1.5,,"Looming Altisaur is a defensive Dino that isn't easy to kill, which seems worth it in a dedicated Dino/control deck (ideally both). Otherwise it's not something I'd be looking to play, though I do like it as a sideboard card.",white,xln,1,7,
Luminous Bonds,Rivals of Ixalan,2W,Enchantment  - Aura,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421942/large/155729_200w.jpg?1515173809,3.5,,"Removal is removal, and this should do the trick quite nicely.",white,rix,,,Enchant creature. Enchanted creature can't attack or block.
Lurking Chupacabra,Ixalan,3B,Creature  - Beast Horror,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378915/large/chupa.png?1505510216,2,,"I love that there is now a (the) Chupacabra, as it's a sweet piece of lore to exist in Magic. The game play is solid too, and I'd play this in any deck with 3+ ways to explore. Once you are at 5+, it becomes awesome, though it sucks if you aren't triggering the ability at least once.",black,xln,2,3,"Whenever a creature you control explores, target creature an opponent controls gets -2/-2 until end of turn."
Majestic Heliopterus,Rivals of Ixalan,3W,Creature  - Dinosaur,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421943/large/155732_200w.jpg?1515173811,2.5,,"In an aggressive deck with a decent amount of Dinos, this acts as a 5+ power flyer. I'm not super excited about it in Dino ramp because it doesn't block well and you usually don't need that much help winning with your 6-drops. Red-white seems like the natural home here, as this could give the deck the last bits of reach it needs. Also, ""heliopterus""? At that point, couldn't you just call it a helicopter?",white,rix,2,2,"Flying. Whenever Majestic Heliopterus attacks, another target Dinosaur you control gains flying until end of turn."
Makeshift Munitions,Ixalan,1R,Enchantment,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378921/large/Makeshift-Munitions-Ixalan-Spoiler.png?1505510586,0.5,,"Here is your sacrifice deck, I suppose. It still does seem pretty makeshift, and I'm not excited about the prospect. The rate here is just too inefficient, and there aren't enough steal effects to really justify going for it. You can throw Treasure, but making it isn't free, and paying 1 mana and a Treasure per damage is just too much.",red,xln,,,"{1}, Sacrifice an artifact or creature: Makeshift Munitions deals 1 damage to target creature or player."
Marauding Looter,Ixalan,2UR,Creature  - Human Pirate,Gold,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377540/large/144833_200w.jpg?1504650152,3.5,,"Good stats plus a powerful repeatable trigger makes for a very strong early pick. As long as you remember to always loot, you'll be in good shape. Though if your hand is all good cards, should you really loot?",gold,xln,4,3,"Raid — At the beginning of your end step, if you attacked with a creature this turn, you may draw a card. If you do, discard a card."
March of the Drowned,Ixalan,B,Sorcery,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379472/large/145791_200w.jpg?1505504716,2.5,,"I'm a big fan of this card. It's elegant, it plays well, and it's powerful in the right deck, while not being a total miss if things don't line up for it. I'd play this in any deck with 4+ Pirates, and if you have some awesome creatures, you can just run it as Raise Dead without feeling bad.",black,xln,,,Choose one —. • Return target creature card from your graveyard to your hand. • Return two target Pirate cards from your graveyard to your hand.
Mark of the Vampire,Ixalan,3B,Enchantment  - Aura,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/863136/large/markofvamp.jpg?1373813655,1.5,,"Slamming this on an evasive creature or something with hexproof is a big game, and does go a long way in making up for the inherent weakness of Auras (they open you up to getting 2-for-1'd by removal and are dead if you don't have a good target). I think this will make its mark in decks with specific targets, and is a fine sideboard card against removal-light opponents. Likewise, feel free to take it out against decks with ample removal and bounce.",black,xln,,,Enchant creature. Enchanted creature gets +2/+2 and has lifelink.
Martyr of Dusk,Rivals of Ixalan,1W,Creature  - Vampire Soldier,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421944/large/155734_200w.jpg?1515173813,3,,"I really like Martyr of Dusk. It trades off well, is the perfect Vampire to give stat bonuses to, and is resilient to removal. All of that is a great deal for 2 mana, and I like this even outside of Vampire decks.",white,rix,2,1,"When Martyr of Dusk dies, create a 1/1 white Vampire creature token with lifelink."
Mastermind's Acquisition,Rivals of Ixalan,2BB,Sorcery,Black,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422036/large/155748_200w.jpg?1515181171,0.5,,"Paying 4 mana to draw a card, even if it's any card from your deck or sideboard, is just not worth it. You are spending too much mana, and won't get that mana back even if the card you get is good. The only time I make an exception is if you have an absurd bomb and the matchup is slow, which does make this a sideboard card.",black,rix,,,"Choose one —. • Search your library for a card, put it into your hand, then shuffle your library. • Choose a card you own from outside the game and put it into your hand."
Mausoleum Harpy,Rivals of Ixalan,4B,Creature  - Harpy,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422037/large/155755_200w.jpg?1515181174,1.5,,"A 5-mana 3/3 flyer is passable, if not exciting. Getting the city's blessing and then needing creatures to die is a bit too much work for my tastes, so that text barely registers.",black,rix,3,3,"Flying. Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Whenever another creature you control dies, if you have the city's blessing, put a +1/+1 counter on Mausoleum Harpy."
"Mavren Fein, Dusk Apostle",Ixalan,2W,Legendary Creature  - Vampire Cleric,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375429/large/141996_200w.jpg?1503948887,3.5,,"Not only is Mavren Fein, Dusk Apostle sick in a Vampire deck where it triggers right away, it also can take matters into its own hands and make a Vampire when it attacks. That gives you a good build-around and a good standalone card, with high upside if it works. You should prioritize combat tricks once you have this, as the opponent will 100% be blocking.",white,xln,2,2,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink."
Merfolk Branchwalker,Ixalan,1G,Creature  - Merfolk Scout,Green,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378914/large/merfolk_branch.png?1505510152,3.5,,"I really like the cost and stats on this one. Every deck will gladly play as many of these as they can-even control. It doesn't count as branching into aggro if your 2-drop draws you a card, right?",green,xln,2,1,"When Merfolk Branchwalker enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Merfolk Mistbinder,Rivals of Ixalan,GU,Creature  - Merfolk Shaman,Gold,Uncommon,,,,,,,2,2,Other Merfolk you control get +1/+1.
Mist-Cloaked Herald,Rivals of Ixalan,U,Creature  - Merfolk Warrior,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422038/large/155800_200w.jpg?1515181176,2,,"I really want to call this unplayable, but in my heart of hearts, I know it isn't. Aggro Merfolk decks will be happy to run this, and I'm sure that U/R Raid decks with Swashbuckling will too. One day, blocking will be legal again.",blue,rix,1,1,Mist-Cloaked Herald can't be blocked.
Moment of Craving,Rivals of Ixalan,1B,Instant,Black,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422039/large/155760_200w.jpg?1515181178,3,,"In a fast format, you're always hungry for cheap removal, and this even gives you 2 life as an extra cushion (and plays well with life gain matters cards). It straight-up kills tons of creatures, or works as a combat trick against slightly bigger ones. As someone who has many moments of craving, this is a good one.",black,rix,,,Target creature gets -2/-2 until end of turn. You gain 2 life.
Moment of Triumph,Rivals of Ixalan,W,Instant,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421945/large/155737_200w.jpg?1515173814,2.5,,"If combat tricks are as good in Rivals as they were in Ixalan, this could be nudged up to a 3, but I'm starting it here. It is efficient, and the 2 life bonus is a nice one, especially with the light life gain theme of the set.",white,rix,,,Target creature gets +2/+2 until end of turn. You gain 2 life.
Mutiny,Rivals of Ixalan,R,Sorcery,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421946/large/155708_200w.jpg?1515173817,3,,"I like this card. It won't always kill exactly what you want to kill, but it's efficient enough that I'll never cut it. It can pick off their second-biggest creature most of the time, and sometimes even get the biggest (if they have multiple creatures of similar size). A 1-mana spell that can kill 2-4 mana creatures easily, and even go bigger, is one I'm interested in.",red,rix,,,Target creature an opponent controls deals damage equal to its power to another target creature that player controls.
Naturalize,Rivals of Ixalan,1G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422114/large/155784_200w.jpg?1515181370,0.5,,"This is a great sideboard card, especially given some of the busted flip enchantments, but I'm still not maindecking it.",green,rix,,,Destroy target artifact or enchantment.
Navigator's Ruin,Ixalan,2U,Enchantment,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379477/large/145744_200w.jpg?1505504723,0,,"This card is aptly-named-not only does there not look to be a supported mill deck, this requires you to attack each turn in order to mill the opponent. That goes against the primary advantage of mill decks, which is that you can play defensively and not waste resources trying to put together an offense. I'd avoid this.",blue,xln,,,"Raid — At the beginning of your end step, if you attacked with a creature this turn, target opponent puts the top four cards of his or her library into his or her graveyard."
Needletooth Raptor,Rivals of Ixalan,3R,Creature  - Dinosaur,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421947/large/155709_200w.jpg?1515173819,3,,"There aren't many enrage cards worth building around, but this is one. You want to thread the needle by dealing one damage repeatedly, which unsurprisingly isn't that hard to do in this format. Forerunner of the Empire has to be the best one, as it tutors for Needletooth, then immediately triggers it, but even without any tricks this is a 2/2 that trades and takes out another creature (or just chumps and kills a giant monster). It's possible that this ends up as a 3.5, though I'm wary of removal like Moment of Craving, Waterknot, and Luminous Bonds.",red,rix,2,2,"Enrage — Whenever Needletooth Raptor is dealt damage, it deals 5 damage to target creature an opponent controls."
Negate,Rivals of Ixalan,1U,Instant,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422042/large/155801_200w.jpg?1515181183,0.5,,The classic sideboard card is still going strong. I like having a Negate in the sideboard of every blue deck.,blue,rix,,,Counter target noncreature spell.
Nest Robber,Ixalan,1R,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379673/large/145809_200w.jpg?1505508577,1.5,,"The best place for this looks to be a lower-curve aggressive Dinosaur deck, likely red-green. Otherwise, it's a mediocre 2/1 that doesn't scale all that well into the late game, though I suppose it can steal a game if you are in a close race.",red,xln,2,1,Haste
New Horizons,Ixalan,2G,Enchantment  - Aura,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379478/large/145753_200w.jpg?1505504725,1.5,,"Gift of Paradise ended up being a bit better than it looked, and this does have more of an effect on the board. That said, you do need to be a serious ramp deck before this does what you are looking for.",green,xln,,,"Enchant land. When New Horizons enters the battlefield, put a +1/+1 counter on target creature you control. Enchanted land has ""{T}: Add two mana of any one color to your mana pool."""
"Nezahal, Primal Tide",Rivals of Ixalan,5UU,Legendary Creature  - Elder Dinosaur,Blue,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421884/large/155688_200w.jpg?1515091957,3,,"7 is a lot, but you get what you pay for with Nezahal. When it's primal time, your opponent will be forced to give you multiple free cards, and Nezahal is big enough to win most combats and has an ability that helps it dodge removal. I'm okay paying 7 mana for a finisher with this many abilities.",blue,rix,7,7,"Nezahal, Primal Tide can't be countered. You have no maximum hand size. Whenever an opponent casts a noncreature spell, draw a card. Discard three cards: Exile Nezahal. Return it to the battlefield tapped under its owner's control at the beginning of the next end step."
Oathsworn Vampire,Rivals of Ixalan,1B,Creature  - Vampire Knight,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422043/large/155770_200w.jpg?1515181185,3,,"Oathsworn Vampire is a classic high upside/low downside card. It's a 2/2 for 2 in a relevant creature type and you can get it back a few times over the course of the game without much trouble. Most Vampire decks will have multiple life gain sources naturally, and it's likely playable without any to begin with. Plus, opponents will be reticent to trade with it, letting you get some free damage in.",black,rix,2,2,Oathsworn Vampire enters the battlefield tapped. You may cast Oathsworn Vampire from your graveyard if you gained life this turn.
Old-Growth Dryads,Ixalan,G,Creature  - Dryad,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376300/large/144539_200w.jpg?1504290487,0,,"This is an aggressive rating, but it's for a reason. I do think it's possible that this fits into an aggro deck, but it seems horrendous to me. Compare this to Wanted Scoundrels, for example. A land is a little better than 2 Treasures early, but the main difference is that they get the land when you play this, not many turns later when it dies. Playing this on turn 1 seems like an easy way to lose the game, as the opponent just plays a 3/2 on turn 2 and trades, or a 4/4 on turn 3 or 4. Where it might be good is on turn 3 or 4, alongside another drop, but that seems too situational to count on. Maybe this will grow on me as the format goes on, but my initial impression is that this is quite bad.",green,xln,3,3,"When Old-Growth Dryads enters the battlefield, each opponent may search his or her library for a basic land card, put it onto the battlefield tapped, then shuffle his or her library."
One With the Wind,Ixalan,1U,Enchantment  - Aura,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379479/large/145746_200w.jpg?1505504727,1.5,,"I am not a leaf on the wind, and hopefully none of my creatures will be either. I will grant that this card gets games over with quickly, and putting it on a 4/4 Dinosaur is threatening, but I don't mind working a little harder for my wins, instead of hoping the opponent doesn't have a removal spell. If you end up in a blue aggressive deck without many flyers, that's the most likely place for this to appear.",blue,xln,,,Enchant creature. Enchanted creature gets +2/+2 and has flying.
Opt,Ixalan,U,Instant,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378004/large/145253_200w.jpg?1504822906,3,,"The ratings system breaks down a tiny bit here-I'll always play Opt since it makes your deck more consistent at little cost, but it's not a card I'd take over premium removal or cards that fill out your curve. It is a nice addition to any deck, and I'd happily play 2 or even 3.",blue,xln,,,Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.). Draw a card.
Orazca Frillback,Rivals of Ixalan,2G,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422044/large/155786_200w.jpg?1515181187,2,,"In an aggressive green deck, this is passable, and in a deck that cares about Dinos, it's got a few nice synergies that make it playable. In neither case am I super hyped, but it's a fine card.",green,rix,4,2,
Orazca Raptor,Rivals of Ixalan,2RR,Creature  - Dinosaur,Red,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421948/large/155711_200w.jpg?1515173821,1.5,,"Dino decks might give this a little bump, though there's not a whole lot going on here. It's got solid stats and a double-red mana cost, so it's pretty easy to see if your deck can support this or needs it.",red,rix,3,4,
Orazca Relic,Rivals of Ixalan,3,Artifact,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422045/large/155746_200w.jpg?1515181188,1.5,,"This is bad ramp, even if it eventually replaces itself. I'm not really looking to ramp this way, and would rather just draft a normal curve.",gold,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). {T}: Add {C} to your mana pool. {T}, Sacrifice Orazca Relic: You gain 3 life and draw a card. Activate this ability only if you have the city's blessing."
Otepec Huntmaster,Ixalan,1R,Creature  - Human Shaman,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6378356/large/145268_200w.jpg?1504901303,1,3,"In a dedicated Dinosaur deck, this is the perfect ramp card. It helps cast your gigantic threats, and gives them haste to enable some very fast draws. Even in the late game, this is quite relevant, which isn't true of most mana dorks.",red,xln,1,2,Dinosaur spells you cast cost {1} less to cast. {T}: Target Dinosaur gains haste until end of turn.
Overflowing Insight,Ixalan,4UUU,Sorcery,Blue,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377653/large/144960_200w.jpg?1504729701,1,2.5,"In most decks, this isn't a playable. Spending 7 mana and not affecting the board is no way to go through life. In a control deck, this seems like a passable win condition, though it's still rough to stabilize, then play this, then hope to untap one more time. I'm certainly interested in using this to win the game, but I wouldn't be surprised if it was worse than just a 7-mana 6/6 or the like.",blue,xln,,,Target player draws seven cards.
Overgrown Armasaur,Rivals of Ixalan,3GG,Creature  - Dinosaur,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422046/large/155788_200w.jpg?1515181190,2,,"What will most often happen is that this will trade for a card and leave a 1/1 behind. That works for me, and if you ever get this into combat and have a trick, the Armasaur will send the opponent straight to their tomb.",green,rix,4,4,"Enrage — Whenever Overgrown Armasaur is dealt damage, create a 1/1 green Saproling creature token."
Paladin of Atonement,Rivals of Ixalan,1W,Creature  - Vampire Knight,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421823/large/155639_200w.jpg?1515010954,3,,"This seems annoying to play against. If you have it in play, your opponent can't attack without giving you some good value, and when the Paladin dies, you get a nice bit of life back. It starts to get nuts once you have cards that let you pay life, but even straight-up I think this will end up playing well.",white,rix,1,1,"At the beginning of each upkeep, if you lost life last turn, put a +1/+1 counter on Paladin of Atonement. When Paladin of Atonement dies, you gain life equal to its toughness."
Paladin of the Bloodstained,Ixalan,3W,Creature  - Vampire Knight,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379480/large/145712_200w.jpg?1505504728,3,,"Not only is Paladin of the Bloodstained a solid set of stats (4/3 total), it's spread across two creatures and features some nice lifelink action. I'm in for all that, and would look for rewards for going wide if I picked up a couple of Paladins.",white,xln,3,2,"When Paladin of the Bloodstained enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
Path of Discovery,Rivals of Ixalan,3G,Enchantment,Green,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421824/large/155640_200w.jpg?1515010956,3,,"I think this card is pretty strong. It's slow, and you won't often be able to play it on turn 4, but it does provide a clear path to victory. It works very nicely with tokens, and should give you the material you need to win any sort of long game.",green,rix,,,"Whenever a creature enters the battlefield under your control, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on the creature, then put the card back or put it into your graveyard.)"
Path of Mettle,Rivals of Ixalan,RW,Legendary Enchantment,Gold,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421949/large/155742_200w.jpg?1515173827,1.5,,"This card is bizarre. I don't think it's great because it's so high variance, but as a mini-sweeper I could see matchups where you want it (it kills 1/1 hexproof and 1/1 lifelink tokens). If you do flip it, it's very powerful, but not many decks will really be in a position to do so. If you have like 7-8 cheap creatures with these abilities, I guess go for it?",gold,rix,,,"When Path of Mettle enters the battlefield, it deals 1 damage to each creature that doesn't have first strike, double strike, vigilance, or haste. Whenever you attack with at least two creatures that have first strike, double strike, vigilance, and/or haste, transform Path of Mettle."
Perilous Voyage,Ixalan,1U,Instant,Blue,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379481/large/145748_200w.jpg?1505504730,2.5,,"It's a shame this doesn't reward you for bouncing the cards you really want to bounce (expensive ones), but it's still a cheap bounce spell with upside if you do bounce something cheap. Not being able to target your own stuff is a real drawback, so keep that in mind-this has lost a lot of flexibility as a result.",blue,xln,,,"Return target nonland permanent you don't control to its owner's hand. If its converted mana cost was 2 or less, scry 2."
Pillar of Origins,Ixalan,2,Artifact,Artifact,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377541/large/144848_200w.jpg?1504650154,1.5,,"If your deck is extremely heavy on a tribe and that tribe has a lot of 4+ drops, maybe this is worth it. Not casting spells or off-tribe cards makes this a pretty risky addition, as it's very easy for it just to be dead.",gold,xln,,,"As Pillar of Origins enters the battlefield, choose a creature type. {T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell of the chosen type."
Pious Interdiction,Ixalan,3W,Enchantment  - Aura,White,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379482/large/145713_200w.jpg?1505504731,3.5,,"Unconditional removal with a bit of lifegain attached is always a welcome sight, and Pious Interdiction is even relatively efficient to boot. It doesn't stop activated abilities, but you can't have it all, and this is not going to be a card you will be passing very often.",white,xln,,,"Enchant creature. When Pious Interdiction enters the battlefield, you gain 2 life. Enchanted creature can't attack or block."
Pirate's Cutlass,Ixalan,3,Artifact  - Equipment,Artifact,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377654/large/144963_200w.jpg?1504729705,3,,"I would never cut this from a Pirate deck, and would even run it with as few as 4 Pirates. The rate is solid enough on its own, and if you can get the first equip for free, you've come out way ahead.",gold,xln,,,"When Pirate's Cutlass enters the battlefield, attach it to target Pirate you control. Equipped creature gets +2/+1. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Pirate's Pillage,Rivals of Ixalan,3R,Sorcery,Red,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421825/large/155641_200w.jpg?1515010960,1.5,,"If you can afford to fall slightly behind on board, this is a powerful spell. It's not quite the original Pillage, which is a masterpiece, but discarding your worst card for two new ones and getting a couple Treasure is playable. This gets more interesting when you're splashing colors or care about ascend, and I don't expect 2-color aggro decks to play this all the time.",red,rix,,,"As an additional cost to cast Pirate's Pillage, discard a card. Draw two cards and create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Pirate's Prize,Ixalan,3U,Sorcery,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379483/large/145750_200w.jpg?1505504733,2,,"I like the combination of drawing cards and getting a bonus mana to pay for them, though I'm aware that not every deck will want expensive card draw. The Prize also goes down as you get multiples, as there are only so many slots you can dedicate to effects like this. As for how many slots, I'm guessing 2-4, though I'm willing to find out what the upper limit is.",blue,xln,,,"Draw two cards. Create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Pitiless Plunderer,Rivals of Ixalan,3B,Creature  - Human Pirate,Black,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422047/large/155775_200w.jpg?1515181191,1,,"In a defensive deck that wants Treasure and has a lot of creatures, this is a fine inclusion. That's a lot of conditions, making this a card that won't see the light of play all that often.",black,rix,1,4,"Whenever another creature you control dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Plummet,Rivals of Ixalan,1G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6422049/large/155789_200w.jpg?1515181194,0.5,,"Plummet is still great out of the sideboard, and still not main-deck material.",green,rix,,,Destroy target creature with flying.
Polyraptor,Rivals of Ixalan,6GG,Creature  - Dinosaur,Green,Mythic Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421826/large/155642_200w.jpg?1515010962,1,,"With the abundance of great expensive cards in the set, I just can't get behind an 8-drop that interacts poorly with bounce or non-damage removal. It can go nuts with the right cards, but I'd save this one for Sealed more than Draft.",green,rix,5,5,"Enrage — Whenever Polyraptor is dealt damage, create a token that's a copy of Polyraptor."
Pounce,Ixalan,1G,Instant,Green,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6379486/large/145755_200w.jpg?1505504738,3.5,,"The common fight spell is usually pretty good, and having enrage synergies (plus large creatures) means this doesn't disappoint. Take it, play it, and be happy you have it.",green,xln,,,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Pride of Conquerors,Rivals of Ixalan,1W,Instant,White,Uncommon,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421950/large/155740_200w.jpg?1515173829,1.5,,"Ascend is a tricky mechanic to evaluate. In the normal case, you aren't ascending almost ever in a game of Limited, so the bonus for ascending doesn't seem that likely to occur. But there are cards that generate Treasure and other tokens, which makes ascending a little reliable, at which point you can really start to pay attention to what you're getting. For the most part, I don't want to play ascend cards that aren't good without the city's blessing, and this is one that is fairly mediocre as such. This does push you to make a deck that will hit 10 permanents more often, so bump this in value if your deck looks well-suited for that.",white,rix,,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Creatures you control get +1/+1 until end of turn. If you have the city's blessing, those creatures get +2/+2 until end of turn instead."
Priest of the Wakening Sun,Ixalan,W,Creature  - Human Cleric,White,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6375430/large/141997_200w.jpg?1503948889,1,3.5,"In a Dino-heavy deck (is that a deck heavy with Dinos, or a deck that has heavy Dinos?), this shines. It buys you time to cast your huge stompers, and can go find whatever you need in the late game. With 5+ Dinos, including at least one really good one, I'd slam Priest of the Wakening Sun, especially if you lean toward midrange/control. With fewer, or in an aggressive low-curve deck, I'd leave it by the wayside.",white,xln,1,1,"At the beginning of your upkeep, you may reveal a Dinosaur card from your hand. If you do, you gain 2 life. {3}{W}{W}, Sacrifice Priest of the Wakening Sun: Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle your library."
Primal Amulet,Ixalan,4,Artifact,Artifact,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6377542/large/144856_200w.jpg?1504650156,1,2,"In a non-spell deck, this is clearly a blank. Once you have tons of spells, like 12+, maybe it does something, but even then it comes out so late that it might not give you a ton of value. I think I'd leave this one to the Constructed masterminds.",gold,xln,,,"Instant and sorcery spells you cast cost {1} less to cast. Whenever you cast an instant or sorcery spell, put a charge counter on Primal Amulet. Then if there are four or more charge counters on it, you may remove those counters and transform it."
Profane Procession,Rivals of Ixalan,1WB,Legendary Enchantment,Gold,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421885/large/155699_200w.jpg?1515091959,4,,"Tetzimoc may be better, but I think this is my least favorite card to play against. It's just uber-frustrating to see this in play and know that you are doomed, as they get to kill three of your creatures and then kill you with those creatures. It might be slow enough that it's closer to a 3.5 in Draft, but I can't imagine cutting it from a B/W deck, and I will be taking it early. I've seen it be insane in Sealed every time it's cast, and know it's a windmill slam there. Is the profane part what the opponent thinks when you play this?",gold,rix,,,"{3}{W}{B}: Exile target creature. Then if there are three or more cards exiled with Profane Procession, transform it."
Prosperous Pirates,Ixalan,4U,Creature  - Human Pirate,Blue,Common,http://crystalcommerce-assets.s3.amazonaws.com/photos/6376302/large/144532_200w.jpg?1504290492,2.5,,"I really like Prosperous Pirates in a ramp deck. As the top of your curve, they aren't quite as exciting, but getting you to at least 7 mana makes them useful for enabling sweet plays while playing good defense themselves.",blue,xln,3,4,"When Prosperous Pirates enters the battlefield, create two colorless Treasure artifact tokens with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Protean Raider,Rivals of Ixalan,1UR,Creature  - Shapeshifter Pirate,Gold,Rare,http://crystalcommerce-assets.s3.amazonaws.com/photos/6421886/large/155690_200w.jpg?1515091961,3.5,,"Clones are historically great, as at worst you are tied for the best creature on the board. Having to attack to get this one going is a real drawback, but at 3 mana it's still a very good card.",gold,rix,2,2,"Raid — If you attacked with a creature this turn, you may have Protean Raider enter the battlefield as a copy of any creature on the battlefield."
