Card,Set,Mana Cost,Card Type,Color,Rarity,lowScore,highScore,review,power,toughness,text
Ixalli's Keeper,Ixalan,1G,Creature  - Human Shaman,Green,Common,1.5,,"Alongside other 2/2s for 2, this is fine if that's what you're in the market for. The ability costs a ton, so you really are just playing this because you are keeping your curve in mind.",2,2,"{7}{G}, {T}, Sacrifice Ixalli's Keeper: Target creature gets +5/+5 and gains trample until end of turn."
Kumena's Speaker,Ixalan,G,Creature  - Merfolk Shaman,Green,Uncommon,1.5,,"In blue-green, this is a fine playable, but outside of that I think I'll pass. I don't want my 2/2 relying on having other creatures in play, as a 2/2 isn't even that good once the game gets to turn 5 or 6.",1,1,Kumena's Speaker gets +1/+1 as long as you control another Merfolk or an Island.
Looming Altisaur,Ixalan,3W,Creature  - Dinosaur,White,Common,1.5,,"Looming Altisaur is a defensive Dino that isn't easy to kill, which seems worth it in a dedicated Dino/control deck (ideally both). Otherwise it's not something I'd be looking to play, though I do like it as a sideboard card.",1,7,
Mark of the Vampire,Ixalan,3B,Enchantment  - Aura,Black,Common,1.5,,"Slamming this on an evasive creature or something with hexproof is a big game, and does go a long way in making up for the inherent weakness of Auras (they open you up to getting 2-for-1'd by removal and are dead if you don't have a good target). I think this will make its mark in decks with specific targets, and is a fine sideboard card against removal-light opponents. Likewise, feel free to take it out against decks with ample removal and bounce.",,,Enchant creature. Enchanted creature gets +2/+2 and has lifelink.
Nest Robber,Ixalan,1R,Creature  - Dinosaur,Red,Common,1.5,,"The best place for this looks to be a lower-curve aggressive Dinosaur deck, likely red-green. Otherwise, it's a mediocre 2/1 that doesn't scale all that well into the late game, though I suppose it can steal a game if you are in a close race.",2,1,Haste
New Horizons,Ixalan,2G,Enchantment  - Aura,Green,Common,1.5,,"Gift of Paradise ended up being a bit better than it looked, and this does have more of an effect on the board. That said, you do need to be a serious ramp deck before this does what you are looking for.",,,"Enchant land. When New Horizons enters the battlefield, put a +1/+1 counter on target creature you control. Enchanted land has ""{T}: Add two mana of any one color to your mana pool."""
One With the Wind,Ixalan,1U,Enchantment  - Aura,Blue,Common,1.5,,"I am not a leaf on the wind, and hopefully none of my creatures will be either. I will grant that this card gets games over with quickly, and putting it on a 4/4 Dinosaur is threatening, but I don't mind working a little harder for my wins, instead of hoping the opponent doesn't have a removal spell. If you end up in a blue aggressive deck without many flyers, that's the most likely place for this to appear.",,,Enchant creature. Enchanted creature gets +2/+2 and has flying.
Pride of Conquerors,Rivals of Ixalan,1W,Instant,White,Uncommon,1.5,,"Ascend is a tricky mechanic to evaluate. In the normal case, you aren't ascending almost ever in a game of Limited, so the bonus for ascending doesn't seem that likely to occur. But there are cards that generate Treasure and other tokens, which makes ascending a little reliable, at which point you can really start to pay attention to what you're getting. For the most part, I don't want to play ascend cards that aren't good without the city's blessing, and this is one that is fairly mediocre as such. This does push you to make a deck that will hit 10 permanents more often, so bump this in value if your deck looks well-suited for that.",,,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Creatures you control get +1/+1 until end of turn. If you have the city's blessing, those creatures get +2/+2 until end of turn instead."
Raiders' Wake,Ixalan,3B,Enchantment,Black,Uncommon,1.5,,"While this can make things look grim for the opponent, it does take a fair amount of work to do its thing. You have to be in a position to attack the opponent each turn, while spending 4 mana on a card that doesn't affect the board at all. For each game that this dominates (which will happen), I suspect there will be multiple games where it does little to nothing. Overall I'm willing to try it as a finisher/high end in a low-curve raid deck, but I'm not high on its prospects.",,,"Whenever an opponent discards a card, that player loses 2 life. Raid â€” At the beginning of your end step, if you attacked with a creature this turn, target opponent discards a card."
Release to the Wind,Rivals of Ixalan,2U,Instant,Blue,Rare,1.5,,"Release to the Wind is a strange card. You mainly want to use it to flicker your own stuff, but in a pinch you can remove opposing creatures from combat or stop something from blocking. Sadly, it doesn't do any of these things efficiently, and paying 3 mana and a card for this isn't really what I'm looking to do.",,,"Exile target nonland permanent. For as long as that card remains exiled, its owner may cast it without paying its mana cost."
Rile,Ixalan,R,Sorcery,Red,Common,1.5,,"In a deck with a couple of good enrage targets, this seems like a fine addition. Outside of that, it's not a card I'm excited to play, as giving trample is clearly not worth going through this effort. If you want this, you'll be able to pick up some copies.",,,Rile deals 1 damage to target creature you control. That creature gains trample until end of turn. Draw a card.
River Darter,Rivals of Ixalan,2U,Creature  - Merfolk Warrior,Blue,Common,1.5,,"River Darter is a fine filler creature for Merfolk, and might shine in some matchups. I'm not excited about this, but it'll make the cut often enough to take it 6-8th pick.",2,3,River Darter can't be blocked by Dinosaurs.
Shake the Foundations,Rivals of Ixalan,2R,Instant,Red,Uncommon,1.5,,"I really like this as a sideboard card, though because it replaces itself it's a passable main deck one as well. It's good with enrage, but isn't earth-shakingly powerful, so I'm not making it a high priority.",,,Shake the Foundations deals 1 damage to each creature without flying. Draw a card.
Shipwreck Looter,Ixalan,1U,Creature  - Human Pirate,Blue,Common,1.5,,"One-shot looting is a good way to make this relevant in the late game, though it's not so powerful that it is a card I'm excited about at any point. It's got the same fail case as Shaper Apprentice with a much lower upside, and in a tribe that seems to care about critical mass a lot less. In this case, not looting may be correct.",2,1,"Raid â€” When Shipwreck Looter enters the battlefield, if you attacked with a creature this turn, you may draw a card. If you do, discard a card."
Slash of Talons,Ixalan,W,Instant,White,Common,1.5,,"AÂ Shock that can only target attackers or blockers is not a card I love, especially if there are a lot of large Dinosaurs stomping around. It does pull its weight in control decks, but I suspect most decks can find more talented spells to fill out their removal suite.",,,Slash of Talons deals 2 damage to target attacking or blocking creature.
Strider Harness,Rivals of Ixalan,3,Artifact  - Equipment,Artifact,Common,1.5,,"Waiting an extra turn to play a creature kind of negates the haste advantage, and even if you have excess mana, the effect here isn't that impressive. This was mediocre last time it appeared, and I doubt it's much different now.",,,Equipped creature gets +1/+1 and has haste. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Sure Strike,Ixalan,1R,Instant,Red,Common,1.5,,"This sure is a mediocre combat trick. You will win almost every fight, which is nice, but it costs 2 mana and doesn't pump toughness, limiting it to in-combat applications only. I suspect you won't feel too bad if you don't pick one of these up, so I wouldn't prioritize it.",,,Target creature gets +3/+0 and gains first strike until end of turn.
Sworn Guardian,Rivals of Ixalan,1U,Creature  - Merfolk Warrior,Blue,Common,1.5,,"If you need a 2-drop and/or Merfolk, this is a passable defensive play. I'm not going nuts over this, but I'll cast it before the format is done.",1,3,
Tilonalli's Crown,Rivals of Ixalan,1R,Enchantment  - Aura,Red,Common,1.5,,"There's a lot going on here. It deals 1, so it triggers enrage, and you can even put it on the opponent's creatures if you want to ping them. It also offers a lot of power and trample, so if you can slap it on an evasive creature you can deal a ton of damage. Ultimately, you will want to play this with 2-toughness flyers, creatures tough enough to live through a combat, and against opponents with 1-toughness creatures to pick off. This card is neat, but very cuttable, because of how much help it needs to be good. Where you shouldn't play it is in a deck with a bunch of 2/2s and 3/3s, because that's just asking to get 2-for-1'd.",,,"Enchant creature. When Tilonalli's Crown enters the battlefield, it deals 1 damage to enchanted creature. Enchanted creature gets +3/+0 and has trample."
Tilonalli's Knight,Ixalan,1R,Creature  - Human Knight,Red,Common,1.5,,"It does look like the low-curve Dinosaur beatdown deck is being pushed, as this Knight fits in perfectly. If you are attacking and have 8+ Dinosaurs, go for it, but otherwise leave this out.",2,2,"Whenever Tilonalli's Knight attacks, if you control a Dinosaur, Tilonalli's Knight gets +1/+1 until end of turn."
Axis of Mortality,Ixalan,4WW,Enchantment,White,Mythic Rare,1,,"While this does force the opponent to kill you in one shot, it's still a 6-mana play that doesn't affect the board. That's a lot of mana to spend without any guarantee of getting value, and in a world without mana burn I'm less inclined to take a shot on this.",,,"At the beginning of your upkeep, you may have two target players exchange life totals."
Blight Keeper,Ixalan,B,Creature  - Bat Imp,Black,Common,1,,"Here's one of the 1/1 flyers for 1 that I try to keep you from playing. I can see this being playable in a raid deck, but outside of that it doesn't do enough early and the ability is too expensive to rely on later.",1,1,"Flying. {7}{B}, {T}, Sacrifice Blight Keeper: Target opponent loses 4 life and you gain 4 life."
Costly Plunder,Ixalan,1B,Instant,Black,Common,1,,"This is a little too much work to draw two cards, and I love drawing two cards. Sacrificing a Treasure token is cute, and eating Vampire tokens is fine, but I'm not looking to run this very often. I do like siding it against Aura-based removal, so keep that in mind.",,,"As an additional cost to cast Costly Plunder, sacrifice an artifact or creature. Draw two cards."
Deeproot Waters,Ixalan,2U,Enchantment,Blue,Uncommon,1,2,"GoblinslideÂ returns, and with hexproof! Merfolkslide is an intriguing card, and rewards you pretty heavily if you can get 10+ Merfolk into your deck. I wouldn't snap this up too early, as nobody else is likely to want it, but it does provide a good ground army if you get it in the right deck. Hexproof is a funny ability to have on 1/1s, but it's better than nothing.",,,"Whenever you cast a Merfolk spell, create a 1/1 blue Merfolk creature token with hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)"
Dive Down,Ixalan,U,Instant,Blue,Common,1,,"Combat tricks that don't increase power tend to be suspect at best, and I'm somewhat down on this as a result. It's a fine sideboard card against removal, or if you know the matchup is going to feature a lot of 3/3s and 4/4s on each side, but I wouldn't start it.",,,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Elaborate Firecannon,Ixalan,2,Artifact,Artifact,Uncommon,1,,"I see this mostly as a sideboard card against a deck full of small creatures, because paying 6 mana for 2 damage, then 4 mana plus a card for each subsequent 2 damage is not a good deal.",,,"Elaborate Firecannon doesn't untap during your untap step. {4}, {T}: Elaborate Firecannon deals 2 damage to target creature or player. At the beginning of your upkeep, you may discard a card. If you do, untap Elaborate Firecannon."
Favorable Winds,Ixalan,1U,Enchantment,Blue,Uncommon,1,3,"In most decks, this is unplayable, but once you have 7+ flyers, especially cheap ones, it becomes a potent build-around. It's a little tricky because most decks full of flyers are already great, but why not make a great deck even better if you can?",,,Creatures you control with flying get +1/+1.
Fire Shrine Keeper,Ixalan,R,Creature  - Elemental,Red,Common,1,,"While I do like mana sinks in general, the Keeper cycle has mostly been a miss for me. Eight is just so much, and I don't really want a 1/1 menace in my decks either.",1,1,"Menace. {7}{R}, {T}, Sacrifice Fire Shrine Keeper: It deals 3 damage to each of up to two target creatures."
Flood of Recollection,Rivals of Ixalan,UU,Sorcery,Blue,Uncommon,1,,"This a Constructed plant more than anything, as you don't really get funky combos going in Limited. You have to have enough spells to give this consistent targets, and spend a 2-mana premium to cast one again. Unless you're completely spell-flooded, I don't think that's very realistic.",,,Return target instant or sorcery card from your graveyard to your hand. Exile Flood of Recollection.
Gilded Sentinel,Ixalan,4,Artifact Creature  - Golem,Artifact,Common,1,,"If you really need another warm (cold) body, here you are. A 3/3 for 4 is not exactly the gold standard, so only run this if you are really short creatures.",3,3,
Gleaming Barrier,Rivals of Ixalan,2,Artifact Creature  - Wall,Artifact,Common,1,,"There's no point in the game where I'm happy with this, either as a wall or a Treasure. It may be a fine sideboard card, but I'd really rather not main deck it.",0,4,"Defender. When Gleaming Barrier dies, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Gruesome Fate,Rivals of Ixalan,2B,Sorcery,Black,Common,1,,"Combining a desire for direct player damage and an ability to make lots of creatures is dicey, largely because aggro decks tend to trade off creatures. This is too conditional for my tastes, and I don't want one in my deck, much less an encore.",,,Each opponent loses 1 life for each creature you control.
Herald of Secret Streams,Ixalan,3U,Creature  - Merfolk Warrior,Blue,Rare,1,2,"In the right deck, this is a playable finisher, though it often won't be necessary. If you're doing a good job accumulating +1/+1 counters, the last thing you need is a card that makes your creatures better at evasion, and a 2/3 for 4 isn't something I'm excited about. The main thing this makes me think of is someone streaming on Twitch without telling anyone, which then leads me to mention the best slogan I've seen on a shirt: ""Stream like nobody is watching."" Also, you probably shouldn't play this card.",2,3,Creatures you control with +1/+1 counters on them can't be blocked.
Hierophant's Chalice,Ixalan,3,Artifact,Artifact,Common,1,,"Draining for 1 isn't something ramp decks care about a ton, and a 3-mana ramp spell is not exciting enough to be worth running (especially when it doesn't fix colors). I'd avoid this.",,,"When Hierophant's Chalice enters the battlefield, target opponent loses 1 life and you gain 1 life. {T}: Add {C} to your mana pool."
Kinjalli's Caller,Ixalan,W,Creature  - Human Cleric,White,Common,1,2,"I'd call Kinjalli's Caller a complete miss in a non-Dinosaur deck, and not even absurd when you do have a bunch of Dinos. It's likely playable with 7+ good Dinosaurs, especially if the format has a lot of 2-power ground creatures, but the ability is niche enough that I wouldn't prioritize this.",0,3,Dinosaur spells you cast cost {1} less to cast.
Legion Conquistador,Both,2W,Creature  - Vampire Soldier,White,Common,1,2,"A 2/2 for 3 that draws more 2/2s for 3 isn't going to do a whole lot of conquering. I suppose I would play this if I had two and needed to fill out my curve, but wasting a bunch of time playing Gray Ogres isn't something you can get away with in modern Limited.",2,2,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle your library."
Ritual of Rejuvenation,Ixalan,2W,Instant,White,Common,1,,"While Ritual of Rejuvenation does replace itself, it's kind of hard to justify spinning your wheels for such a minor effect.",,,You gain 4 life. Draw a card.
River Heralds' Boon,Ixalan,1G,Instant,Green,Common,1,3.5,"I really like this in Merfolk decks, and think it's unplayable outside of them. Getting two +1/+1 counters at instant speed is a giant beating, as you will win combat and be left with a bunch of value. You can spread the counters out or put them in the same place, and combined with +1/+1 counter synergies and hexproof Merfolk, this becomes awesome.",,,Put a +1/+1 counter on target creature and a +1/+1 counter on up to one target Merfolk.
River Sneak,Ixalan,1U,Creature  - Merfolk Warrior,Blue,Uncommon,1,3,"You shouldn't play this in a non-Merfolk deck, though I suspect it'll sneak its way in more often than it should. In an aggressive Merfolk deck this looks great, and an easy way to clock the opponent for a solid 2 damage a turn.",1,1,"River Sneak can't be blocked. Whenever another Merfolk enters the battlefield under your control, River Sneak gets +1/+1 until end of turn."
Shore Keeper,Ixalan,U,Creature  - Trilobite,Blue,Common,1,2,"In no deck is this amazing, though I will be playing it in my control decks. If you're in the market for an 0/3 blocker, this is a keeper, though I know you really just want an excuse to play an un-delved Treasure Cruise. That actually seems legit to me, and I'm curious if Trilobite Control is a viable strategy, especially given the random Treasure counters floating around.",0,3,"{7}{U}, {T}, Sacrifice Shore Keeper: Draw three cards."
Siren's Ruse,Ixalan,1U,Instant,Blue,Common,1,2.5,"In a Pirate deck, especially one with many ETB effects, I'd happily run this. Outside of that, it's a sideboard card against removal, and not a particularly powerful one at that.",,,"Exile target creature you control, then return that card to the battlefield under its owner's control. If a Pirate was exiled this way, draw a card."
Slippery Scoundrel,Rivals of Ixalan,2U,Creature  - Human Pirate,Blue,Uncommon,1,,"This looks like a Gray Ogre to me, and not a whole lot more. I'm not banking on having the city's blessing, and especially don't want to play a card that is bad before I have it.",2,2,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). As long as you have the city's blessing, Slippery Scoundrel has hexproof and can't be blocked."
Snubhorn Sentry,Rivals of Ixalan,W,Creature  - Dinosaur,White,Common,1,,"Unless you're in the market for 0/3s, this is not what you're looking for. By the time you ascend, it's not even that impressive, and you won't be getting there any time soon.",0,3,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.). Snubhorn Sentry gets +3/+0 as long as you have the city's blessing."
Soul of the Rapids,Rivals of Ixalan,3UU,Creature  - Elemental,Blue,Common,1,,"Soul of the Rapids is a little too pricey for me, though it could be a powerful sideboard card against a removal deck (if such a thing exists). I suppose if you are really short on 5-drops, this could fill in the hole, but that sounds like a rapid path to an 0-3 to me.",3,2,Flying. Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Spike-Tailed Ceratops,Ixalan,4G,Creature  - Dinosaur,Green,Common,1,,"This won't actually block very many additional creatures because I won't be playing it often. It's kind of a dorky vanilla dude, and you can do better.",4,4,Spike-Tailed Ceratops can block an additional creature each combat.
Sun-Collared Raptor,Rivals of Ixalan,1R,Creature  - Dinosaur,Red,Common,1,,"Sun-Collared Raptor is a somewhat strange card. It's not really a 2-drop, as it's horrible to attack with this into a 2/2 early. What it does do is attack for 10 points of trample later in the game, making it a kind of Fireball on legs, if that's what you're looking for. Most of the time, you shouldn't be, so only play this if you're aggressive and really want a finisher. Its weakness early is just too much of a liability in most cases.",1,2,Trample. {2}{R}: Sun-Collared Raptor gets +3/+0 until end of turn.
Trove of Temptation,Ixalan,3R,Enchantment,Red,Uncommon,1,,"This is a very strange card, and I am indeed tempted to try it. Making a mana per turn isn't quite good enough, but being able to stack them up and use them to play something really big is a real upside. Forcing the opponent to attack is cute too, though if they have any reasonable attacks then this does nothing since they just need to send one creature. If the stars align and you have a controlling ramp deck with good midrange blockers, maybe this does the trick, but I have my doubts.",,,"Each opponent must attack you or a planeswalker you control with at least one creature each combat if able. At the beginning of your end step, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Unknown Shores,Ixalan,,Land,Land,Common,1,,"I still don't like this card, though the flavor of including it in this set is nice. Adding a mana to the cost of your spells is big, and I'd only run this if I were 3 colors and had a lot of cheap cards.",,,"{T}: Add {C} to your mana pool. {1}, {T}: Add one mana of any color to your mana pool."
Wily Goblin,Ixalan,RR,Creature  - Goblin Pirate,Red,Uncommon,1,,"Maybe this makes waves in Constructed, but I don't see it in Limited. It's too small and too hard to cast early, making it a card without a home.",1,1,"When Wily Goblin enters the battlefield, create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color to your mana pool."""
Blinding Fog,Ixalan,2G,Instant,Green,Common,0.5,,"I'm not a big fan of fogs in general, and this can't even save you from dying to an alpha strike (only prevents damage to creatures). It does protect your creatures from removal, but that's not enough to blind me to how bad this is.",,,Prevent all damage that would be dealt to creatures this turn. Creatures you control gain hexproof until end of turn. (They can't be the targets of spells or abilities your opponents control.)
Cleansing Ray,Rivals of Ixalan,1W,Sorcery,White,Common,0.5,,"A great sideboard card is still a sideboard card-this won't see the light of day in my main deck, but I will take it over middle-of-the-road playables. When you side this in against Vampires, it's excellent, and it's nice to have enchantment removal as well.",,,Choose one â€”. â€¢ Destroy target Vampire. â€¢ Destroy target enchantment.
Crushing Canopy,Ixalan,2G,Instant,Green,Common,0.5,,"Two sideboard cards in one-hooray. This is mainly for flyers, but it's nice that it can also hit enchantments if need be.",,,Choose one â€”. â€¢ Destroy target creature with flying. â€¢ Destroy target enchantment.
Dark Inquiry,Rivals of Ixalan,2B,Sorcery,Black,Common,0.5,,"Inquiring minds want to know: Is this card playable? I wouldn't maindeck it, though it's a viable sideboard card against decks with expensive finishers. Paying 3 mana and not affecting the board is a tough sell.",,,Target opponent reveals his or her hand. You choose a nonland card from it. That player discards that card.
Demystify,Ixalan,W,Instant,White,Common,0.5,,"This is purely a sideboard card, and not a particularly effective one at that. I'd want to see 3 good targets before boarding this in.",,,Destroy target enchantment.
Dual Shot,Ixalan,R,Instant,Red,Common,0.5,,"This is another sideboard option, mainly used for preying on Vampires (just like in Shadows Over Innistrad).",,,Dual Shot deals 1 damage to each of up to two target creatures.
Duress,Ixalan,B,Sorcery,Black,Common,0.5,,"Like Spell Pierce, this is another Constructed staple that's relegated to sideboard duty in Limited. The odds of whiffing are just too high to maindeck this, though it can be effective against spell-heavy decks.",,,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card."
Hijack,Ixalan,1RR,Sorcery,Red,Common,0.5,,"Outside of formats with a dedicated sacrifice theme, Threaten effects tend to be pretty bad. Hijack isn't a card I expect to play, though I can see siding it in against big Dinosaurs every now and then.",,,Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.
Jungle Delver,Ixalan,G,Creature  - Merfolk Warrior,Green,Common,0.5,,"Here's a secret: Don't play Jungle Delver. It's too small and the ability is too expensive, even in a Merfolk deck.",1,1,{3}{G}: Put a +1/+1 counter on Jungle Delver.
Makeshift Munitions,Ixalan,1R,Enchantment,Red,Uncommon,0.5,,"Here is your sacrifice deck, I suppose. It still does seem pretty makeshift, and I'm not excited about the prospect. The rate here is just too inefficient, and there aren't enough steal effects to really justify going for it. You can throw Treasure, but making it isn't free, and paying 1 mana and a Treasure per damage is just too much.",,,"{1}, Sacrifice an artifact or creature: Makeshift Munitions deals 1 damage to target creature or player."
Naturalize,Rivals of Ixalan,1G,Instant,Green,Common,0.5,,"This is a great sideboard card, especially given some of the busted flip enchantments, but I'm still not maindecking it.",,,Destroy target artifact or enchantment.
Negate,Rivals of Ixalan,1U,Instant,Blue,Common,0.5,,The classic sideboard card is still going strong. I like having a Negate in the sideboard of every blue deck.,,,Counter target noncreature spell.
Plummet,Rivals of Ixalan,1G,Instant,Green,Common,0.5,,"Plummet is still great out of the sideboard, and still not main-deck material.",,,Destroy target creature with flying.
Shatter,Rivals of Ixalan,1R,Instant,Red,Common,0.5,," This is a sideboard card, and a weak one at that. Targeting only artifacts makes it hard to imagine bringing this in except in rare circumstances.",,,Destroy target artifact.
Spell Pierce,Ixalan,U,Instant,Blue,Common,0.5,,"This is an awesome Constructed reprint, but a marginal Limited one. Side it in only if your opponent has multiple expensive spells, or if the matchup is very fast and they have a good amount of cheap removal spells they are inclined to play early.",,,Counter target noncreature spell unless its controller pays {2}.
Spreading Rot,Ixalan,4B,Sorcery,Black,Common,0.5,,"Besides rotting in your hand, this will also rot in your sideboard. I do see some value in siding this against the rare flip lands, but past that it's a pass.",,,Destroy target land. Its controller loses 2 life.
Swashbuckling,Ixalan,1R,Enchantment  - Aura,Red,Common,0.5,,"In hyper-aggressive Pirates decks, maybe, just maybe, this is a 24th card. It's just not worth a card to get +2/+2, and playing it in the same turn in order to get haste is pretty hard to set up.",,,Enchant creature. Enchanted creature gets +2/+2 and has haste.
Castaway's Despair,Ixalan,3U,Enchantment  - Aura,Blue,Common,,,,,,"Enchant creature. When Castaway's Despair enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Cinder Barrens,Rivals of Ixalan,,Land,Land,Common,,,,,,Cinder Barrens enters the battlefield tapped. {T}: Add {B} or {R} to your mana pool.
Forsaken Sanctuary,Rivals of Ixalan,,Land,Land,Uncommon,,,,,,Forsaken Sanctuary enters the battlefield tapped. {T}: Add {W} or {B} to your mana pool.
Foul Orchard,Rivals of Ixalan,,Land,Land,Uncommon,,,,,,Foul Orchard enters the battlefield tapped. {T}: Add {B} or {G} to your mana pool.
Grasping Current,Ixalan,4U,Sorcery,Blue,Rare,,,,,,"Return up to two target creatures to their owner's hand. Search your library and/or graveyard for a card named Jace, Ingenious Mind-Mage, reveal it, and put it into your hand. If you searched your library this way, shuffle it."
Highland Lake,Rivals of Ixalan,,Land,Land,Uncommon,,,,,,Highland Lake enters the battlefield tapped. {T}: Add {U} or {R} to your mana pool.
Jace's Sentinel,Ixalan,1U,Creature  - Merfolk Warrior,Blue,Uncommon,,,,1,3,"As long as you control a Jace planeswalker, Jace's Sentinel gets +1/+0 and can't be blocked."
Legion Lieutenant,Rivals of Ixalan,WB,Creature  - Vampire Knight,Gold,Uncommon,,,,2,2,Other Vampires you control get +1/+1.
Merfolk Mistbinder,Rivals of Ixalan,GU,Creature  - Merfolk Shaman,Gold,Uncommon,,,,2,2,Other Merfolk you control get +1/+1.
Seekers' Squire,Ixalan,1B,Creature  - Human Scout,Black,Uncommon,,,,1,2,"When Seekers' Squire enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Stone Quarry,Both,,Land,Land,Uncommon,,,,,,Stone Quarry enters the battlefield tapped. {T}: Add {R} or {W} to your mana pool.
Woodland Stream,Both,,Land,Land,Uncommon,,,,,,Woodland Stream enters the battlefield tapped. {T}: Add {G} or {U} to your mana pool.
,,,,,,,,,,,
